trade_date,ic,rank_ic,abs_ic,p_value,n_samples,significant,cum_ic,cum_rank_ic
2023-10-19,-0.013889721577159633,-0.013889721577159633,0.013889721577159633,0.33629977105167363,4794,False,94.64952263199167,94.64952263199167
2023-10-20,0.04791603422639911,0.04791603422639911,0.04791603422639911,0.0009021810636674728,4796,True,94.69743866621808,94.69743866621808
2023-10-23,-0.05661765334344969,-0.05661765334344969,0.05661765334344969,8.712889435808971e-05,4798,True,94.64082101287462,94.64082101287462
2023-10-24,-0.0028326045658691027,-0.0028326045658691027,0.0028326045658691027,0.8444712906515587,4799,False,94.63798840830876,94.63798840830876
2023-10-25,0.0372656559844387,0.0372656559844387,0.0372656559844387,0.009813459841021454,4801,True,94.6752540642932,94.6752540642932
2023-10-26,-0.04323280732415052,-0.04323280732415052,0.04323280732415052,0.002725380550724126,4804,True,94.63202125696905,94.63202125696905
2023-10-27,0.121396593442973,0.121396593442973,0.121396593442973,3.04260646614101e-17,4806,True,94.75341785041202,94.75341785041202
2023-10-30,0.14720757677443724,0.14720757677443724,0.14720757677443724,1.0838867079276056e-24,4806,True,94.90062542718645,94.90062542718645
2023-10-31,0.16471397426731088,0.16471397426731088,0.16471397426731088,1.33060143485774e-30,4810,True,95.06533940145377,95.06533940145377
2023-11-01,-0.10814011945655033,-0.10814011945655033,0.10814011945655033,5.376922992824345e-14,4813,True,94.95719928199722,94.95719928199722
2023-11-02,-0.23597810635173122,-0.23597810635173122,0.23597810635173122,6.373462066544397e-62,4815,True,94.72122117564548,94.72122117564548
2023-11-03,-0.0485314551671312,-0.0485314551671312,0.0485314551671312,0.0007542280758977618,4816,True,94.67268972047835,94.67268972047835
2023-11-06,-0.011968467920726429,-0.011968467920726429,0.011968467920726429,0.4064619205571275,4813,False,94.66072125255762,94.66072125255762
2023-11-07,0.13188806159098687,0.13188806159098687,0.13188806159098687,4.016275615856106e-20,4813,True,94.7926093141486,94.7926093141486
2023-11-08,0.16660577688462647,0.16660577688462647,0.16660577688462647,2.6032196219559573e-31,4815,True,94.95921509103323,94.95921509103323
2023-11-09,0.05445152569259111,0.05445152569259111,0.05445152569259111,0.00015693353610098256,4814,True,95.01366661672581,95.01366661672581
2023-11-10,-0.06324250982332107,-0.06324250982332107,0.06324250982332107,1.1248461150780581e-05,4815,True,94.95042410690249,94.95042410690249
2023-11-13,0.0005981175975638512,0.0005981175975638512,0.0005981175975638512,0.9668893460871211,4819,False,94.95102222450005,94.95102222450005
2023-11-14,0.09190302636241142,0.09190302636241142,0.09190302636241142,1.6477296758630164e-10,4818,True,95.04292525086247,95.04292525086247
2023-11-15,0.10888860819160237,0.10888860819160237,0.10888860819160237,3.385109194994532e-14,4823,True,95.15181385905407,95.15181385905407
2023-11-16,0.03933774084532698,0.03933774084532698,0.03933774084532698,0.006273749217786474,4826,True,95.1911515998994,95.1911515998994
2023-11-17,0.021413682105373456,0.021413682105373456,0.021413682105373456,0.13683278817285632,4828,False,95.21256528200477,95.21256528200477
2023-11-20,0.15949196039893632,0.15949196039893632,0.15949196039893632,6.83413905495957e-29,4831,True,95.37205724240371,95.37205724240371
2023-11-21,0.042528983254184305,0.042528983254184305,0.042528983254184305,0.0031046809193483235,4833,True,95.4145862256579,95.4145862256579
2023-11-22,0.026434975057907796,0.026434975057907796,0.026434975057907796,0.06586953038693902,4842,False,95.44102120071581,95.44102120071581
2023-11-23,-0.028098610776282028,-0.028098610776282028,0.028098610776282028,0.05054644246274781,4843,False,95.41292258993953,95.41292258993953
2023-11-24,0.2160175501486014,0.2160175501486014,0.2160175501486014,2.9355717006300332e-52,4845,True,95.62894014008813,95.62894014008813
2023-11-27,0.17321230736455426,0.17321230736455426,0.17321230736455426,5.883732824959195e-34,4847,True,95.80215244745268,95.80215244745268
2023-11-28,0.038496495926017275,0.038496495926017275,0.038496495926017275,0.007352463388666326,4847,True,95.8406489433787,95.8406489433787
2023-11-29,0.02549817469676819,0.02549817469676819,0.02549817469676819,0.07571270002558429,4853,False,95.86614711807546,95.86614711807546
2023-11-30,0.06785110490726341,0.06785110490726341,0.06785110490726341,2.5257326859361854e-06,4802,True,95.93399822298272,95.93399822298272
2023-12-01,-0.002877795851234651,-0.002877795851234651,0.002877795851234651,0.8410504893560092,4859,False,95.93112042713149,95.93112042713149
2023-12-04,0.14174829807704042,0.14174829807704042,0.14174829807704042,3.1644420206162985e-23,4858,True,96.07286872520854,96.07286872520854
2023-12-05,-0.010752700684530695,-0.010752700684530695,0.010752700684530695,0.45354593900512863,4861,False,96.062116024524,96.062116024524
2023-12-06,-0.013290054557072967,-0.013290054557072967,0.013290054557072967,0.35414076942348416,4863,False,96.04882596996693,96.04882596996693
2023-12-07,0.11808134715740037,0.11808134715740037,0.11808134715740037,1.4418309465932173e-16,4863,True,96.16690731712433,96.16690731712433
2023-12-08,-0.036563096343485056,-0.036563096343485056,0.036563096343485056,0.010766276460734471,4864,True,96.13034422078084,96.13034422078084
2023-12-11,0.14675633870682814,0.14675633870682814,0.14675633870682814,7.8736228109358085e-25,4865,True,96.27710055948766,96.27710055948766
2023-12-12,0.09442059443827693,0.09442059443827693,0.09442059443827693,4.162651594814389e-11,4864,True,96.37152115392594,96.37152115392594
2023-12-13,0.06447496397340678,0.06447496397340678,0.06447496397340678,6.745880529105904e-06,4867,True,96.43599611789935,96.43599611789935
